symbol,entry,exit,entry_px,exit_reason,max_close,doubled,days_held
AARTIIND,2019-02-15,2019-06-03,354.8,rebalance,467.2875,False,108
BRITANNIA,2019-02-15,2019-06-03,2945.0,rebalance,3149.4,False,108
COLPAL,2019-02-15,2019-06-03,1255.0,rebalance,1289.8,False,108
LT,2019-02-15,2019-06-03,1244.0,rebalance,1596.0,False,108
RATNAMANI,2019-02-15,2019-06-03,565.0333333333333,rebalance,660.0,False,108
SKFINDIA,2019-02-15,2019-06-03,1970.0,rebalance,2130.35,False,108
ITC,2019-02-15,2019-08-16,279.0,rebalance,307.2,False,182
MAHSEAMLES,2019-06-03,2019-08-16,231.975,rebalance,224.0,False,74
RELIANCE,2019-06-03,2019-08-16,1335.0,rebalance,1360.2,False,74
TATASTEEL,2019-06-03,2019-08-16,48.895,rebalance,51.07,False,74
TRIDENT,2019-06-03,2019-08-16,6.775,rebalance,6.81,False,74
GSPL,2019-08-16,2019-11-15,222.0,rebalance,224.55,False,91
JBCHEPHARM,2019-06-03,2019-11-15,379.95,rebalance,404.55,False,165
NHPC,2019-08-16,2019-11-15,22.75,rebalance,24.3,False,91
NMDC,2019-08-16,2019-11-15,104.7,rebalance,113.45,False,91
NTPC,2019-02-15,2019-11-15,110.0,rebalance,143.45,False,273
DRREDDY,2019-11-15,2020-02-17,2748.0,rebalance,3324.6,False,94
GUJENERGY,2019-11-15,2020-02-17,197.9,rebalance,304.4,False,94
KNRCON,2019-08-16,2020-02-17,118.5,rebalance,152.325,False,185
MGL,2019-02-15,2020-02-17,868.9,rebalance,1236.9,False,367
ADANIENSOL,2019-11-15,2020-06-01,272.0,rebalance,356.65,False,199
COCHINSHIP,2020-02-17,2020-06-01,353.25,rebalance,355.2,False,105
HCLTECH,2020-02-17,2020-06-01,623.0,rebalance,613.45,False,105
INDRAMEDCO,2020-02-17,2020-06-01,42.55,rebalance,42.55,False,105
GSPL,2020-02-17,2020-08-17,242.0,rebalance,241.25,False,182
IGL,2019-11-15,2020-08-17,425.0,rebalance,522.3,False,276
MPHASIS,2020-06-01,2020-08-17,877.65,rebalance,1214.6,False,77
PSPPROJECT,2019-08-16,2020-08-17,527.0,rebalance,570.15,False,367
SANOFI,2020-06-01,2020-08-17,7825.0,rebalance,8488.95,False,77
ALKEM,2020-06-01,2020-11-17,2290.0,rebalance,2981.95,False,169
CHAMBLFERT,2020-08-17,2020-11-17,153.95,rebalance,186.2,False,92
COROMANDEL,2020-06-01,2020-11-17,659.95,rebalance,823.3,False,169
POLYPLEX,2020-08-17,2020-11-17,810.0,rebalance,833.4,False,92
POWERGRID,2019-02-15,2020-11-17,133.8,rebalance,160.5,False,641
TORNTPOWER,2019-11-15,2020-11-17,293.0,rebalance,359.95,False,368
KELLTONTEC,2020-11-17,2021-02-15,50.95,rebalance,84.8,False,90
LTM,2020-08-17,2021-02-15,2451.1,rebalance,4402.45,False,182
PIIND,2019-06-03,2021-02-15,1148.0,rebalance,2445.65,True,623
ZYDUSLIFE,2020-08-17,2021-02-15,399.15,rebalance,503.45,False,182
EVEREADY,2020-11-17,2021-06-01,160.0,rebalance,324.75,True,196
HCLTECH,2020-08-17,2021-06-01,711.1,rebalance,1062.1,False,288
INDSWFTLAB,2020-11-17,2021-06-01,56.3,rebalance,90.9,False,196
JINDALPOLY,2020-11-17,2021-06-01,503.1,rebalance,914.35,False,196
JKCEMENT,2020-11-17,2021-06-01,1893.0,rebalance,3015.1,False,196
KNRCON,2021-02-15,2021-06-01,225.0,rebalance,233.45,False,106
STEELXIND,2021-02-15,2021-06-01,5.29,rebalance,6.685,False,106
COSMOFIRST,2021-06-01,2021-08-16,526.5333333333333,rebalance,946.3333333333333,False,76
DALBHARAT,2021-06-01,2021-08-16,1778.4,rebalance,2291.45,False,76
GPIL,2021-02-15,2021-08-16,126.0,rebalance,443.625,True,182
GULPOLY,2021-06-01,2021-08-16,169.8,rebalance,281.2,False,76
SALASAR,2021-06-01,2021-08-16,34.97,rebalance,35.72,False,76
UFLEX,2020-11-17,2021-08-16,337.5,rebalance,570.7,False,272
VEDL,2021-06-01,2021-08-16,276.5,rebalance,336.5,False,76
GRASIM,2021-08-16,2021-11-15,1498.9,rebalance,1874.45,False,91
SHIVAMILLS,2021-08-16,2021-11-15,90.6,rebalance,121.55,False,91
STYRENIX,2021-08-16,2021-11-15,1416.2,rebalance,1833.6,False,91
SUPPETRO,2021-08-16,2021-11-15,694.35,rebalance,769.9,False,91
TATASTLBSL,2021-02-15,2021-12-13,43.3,no_trade_exit,105.85,True,301
GHCL,2021-08-16,2022-02-15,354.1,rebalance,476.65,False,183
HGINFRA,2021-08-16,2022-02-15,539.9,rebalance,810.25,False,183
JSWSTEEL,2021-06-01,2022-06-01,716.5,rebalance,767.85,False,365
PRECOT,2022-02-15,2022-06-01,328.15,rebalance,355.85,False,106
TATASTEEL,2021-06-01,2022-06-01,112.0,rebalance,151.94000000000003,False,365
VEDL,2021-11-15,2022-06-01,329.0,rebalance,437.75,False,198
AURIONPRO,2022-06-01,2022-08-16,313.0,rebalance,338.1,False,76
DCMNVL,2022-02-15,2022-08-16,270.0,rebalance,287.2,False,182
HINDALCO,2021-11-15,2022-08-16,473.6,rebalance,631.3,False,274
NITINSPIN,2021-08-16,2022-08-16,229.9,rebalance,338.5,False,365
OIL,2021-11-15,2022-08-16,221.9,rebalance,300.2,False,274
ONGC,2021-11-15,2022-08-16,156.45,rebalance,186.95,False,274
POLYPLEX,2022-06-01,2022-11-15,2367.65,rebalance,2618.9,False,167
RITES,2022-08-16,2022-11-15,271.95,rebalance,412.2,False,91
ANDHRAPAP,2022-11-15,2023-02-15,455.0,open_at_end,453.8,False,92
COALINDIA,2022-08-16,2023-02-15,224.4,open_at_end,255.8,False,183
EIDPARRY,2022-08-16,2023-02-15,582.7,open_at_end,662.0,False,183
GESHIP,2022-08-16,2023-02-15,525.0,open_at_end,725.75,False,183
ITC,2022-08-16,2023-02-15,308.55,open_at_end,386.45,False,183
MAHSEAMLES,2022-02-15,2023-02-15,257.6,open_at_end,436.725,False,365
NTPC,2022-06-01,2023-02-15,156.45,open_at_end,181.8,False,259
POWERGRID,2022-08-16,2023-02-15,229.2,open_at_end,237.6,False,183
STARPAPER,2022-11-15,2023-02-15,208.0,open_at_end,202.8,False,92
