label,n,buffer_mult,rebalance,sector_cap,cost,delist_haircut,wait_sessions,no_trade_exit,initial_capital,cagr,sharpe_rf0,max_drawdown,ir_vs_universe_ew,seconds
N10_buf1x_quarterly_cap3_c0.002_h1,10,1,quarterly,3.0,0.002,1.0,5,20,500000.0,0.2850831541497596,1.2124908677676105,-0.369083557291741,0.34404016220221106,0.32
N10_buf1x_quarterly_capnone_c0.002_h1,10,1,quarterly,,0.002,1.0,5,20,500000.0,0.2705760782581019,1.1476857354983874,-0.3690733697306078,0.2586554046063721,0.22
N10_buf1x_half_cap3_c0.002_h1,10,1,half,3.0,0.002,1.0,5,20,500000.0,0.19658608166065838,0.9307184096991516,-0.3297489298299273,-0.23773449182879838,0.33
N10_buf1x_half_capnone_c0.002_h1,10,1,half,,0.002,1.0,5,20,500000.0,0.1828264367654644,0.8574770482182331,-0.3297489298299273,-0.28995671155422353,0.17
N10_buf2x_quarterly_cap3_c0.002_h1,10,2,quarterly,3.0,0.002,1.0,5,20,500000.0,0.27498468335823034,1.1726382190598703,-0.3355977760809462,0.2726648243576578,0.18
N10_buf2x_quarterly_capnone_c0.002_h1,10,2,quarterly,,0.002,1.0,5,20,500000.0,0.2712754519612419,1.138628179830263,-0.3355977760809462,0.24616601338670316,0.17
N10_buf2x_half_cap3_c0.002_h1,10,2,half,3.0,0.002,1.0,5,20,500000.0,0.17435699139075678,0.8323778369209884,-0.31610592926972547,-0.3540872210991564,0.19
N10_buf2x_half_capnone_c0.002_h1,10,2,half,,0.002,1.0,5,20,500000.0,0.17897259099967,0.826532526451929,-0.31610592926972547,-0.29245876519434194,0.19
N10_buf3x_quarterly_cap3_c0.002_h1,10,3,quarterly,3.0,0.002,1.0,5,20,500000.0,0.21983102431625734,1.0003674561165306,-0.3370024156348139,-0.03861497370348367,0.18
N10_buf3x_quarterly_capnone_c0.002_h1,10,3,quarterly,,0.002,1.0,5,20,500000.0,0.22498955622479566,0.9966640538162137,-0.3370024156348139,0.0017697234547575276,0.18
N10_buf3x_half_cap3_c0.002_h1,10,3,half,3.0,0.002,1.0,5,20,500000.0,0.15809880220574346,0.7631685799873713,-0.32525181190541397,-0.4415368082714303,0.19
N10_buf3x_half_capnone_c0.002_h1,10,3,half,,0.002,1.0,5,20,500000.0,0.1774767516633362,0.8143052341221799,-0.3280283129820022,-0.29159246239745173,0.18
N15_buf1x_quarterly_cap3_c0.002_h1,15,1,quarterly,3.0,0.002,1.0,5,20,500000.0,0.23449785901983655,1.0573041567280803,-0.36883951686113925,0.050233908690527886,0.2
N15_buf1x_quarterly_capnone_c0.002_h1,15,1,quarterly,,0.002,1.0,5,20,500000.0,0.24654821697704765,1.0957457595583668,-0.3688421606595167,0.12649103785221738,0.24
N15_buf1x_half_cap3_c0.002_h1,15,1,half,3.0,0.002,1.0,5,20,500000.0,0.17457527258258732,0.8605164944583832,-0.3275868215564143,-0.42789030416015733,0.17
N15_buf1x_half_capnone_c0.002_h1,15,1,half,,0.002,1.0,5,20,500000.0,0.16953805583652581,0.8265484376614041,-0.3275868215564143,-0.4296056305632322,0.19
N15_buf2x_quarterly_cap3_c0.002_h1,15,2,quarterly,3.0,0.002,1.0,5,20,500000.0,0.22267818160152175,1.0269819263752753,-0.3512252411341865,-0.03260276764858116,0.2
N15_buf2x_quarterly_capnone_c0.002_h1,15,2,quarterly,,0.002,1.0,5,20,500000.0,0.2250032546050409,1.0292804179487858,-0.3520579522201791,-0.013887818307898732,0.2
N15_buf2x_half_cap3_c0.002_h1,15,2,half,3.0,0.002,1.0,5,20,500000.0,0.15787839633559186,0.7946978152273835,-0.31718010664698515,-0.5373484476264675,0.18
N15_buf2x_half_capnone_c0.002_h1,15,2,half,,0.002,1.0,5,20,500000.0,0.17713995530535454,0.8535729387047695,-0.31718010664698515,-0.3738044336733789,0.21
N15_buf3x_quarterly_cap3_c0.002_h1,15,3,quarterly,3.0,0.002,1.0,5,20,500000.0,0.24265348298870704,1.1248477050980998,-0.32594902135930526,0.0885846173415195,0.2
N15_buf3x_quarterly_capnone_c0.002_h1,15,3,quarterly,,0.002,1.0,5,20,500000.0,0.24697461165206858,1.1214929301747056,-0.3255310877346328,0.12019991617931697,0.23
N15_buf3x_half_cap3_c0.002_h1,15,3,half,3.0,0.002,1.0,5,20,500000.0,0.15992981714903554,0.8031739566994308,-0.3134916059535744,-0.5399856007522543,0.2
