label,n,buffer_mult,rebalance,sector_cap,cost,delist_haircut,wait_sessions,no_trade_exit,initial_capital,cagr,sharpe_rf0,max_drawdown,ir_vs_universe_ew,seconds,n_neigh,neigh_median_ir
N10_buf2x_quarterly_cap3_c0.002_h1,10,2,quarterly,3.0,0.002,1.0,5,20,500000.0,0.2749846833582303,1.1726382190598703,-0.3355977760809462,0.2726648243576578,0.18,7.0,0.1753643761375912
N10_buf1x_quarterly_capnone_c0.002_h1,10,1,quarterly,0.0,0.002,1.0,5,20,500000.0,0.2705760782581019,1.1476857354983874,-0.3690733697306078,0.2586554046063721,0.22,7.0,0.1264910378522173
N10_buf3x_quarterly_capnone_c0.002_h1,10,3,quarterly,0.0,0.002,1.0,5,20,500000.0,0.2249895562247956,0.9966640538162136,-0.3370024156348139,0.0017697234547575,0.18,7.0,0.1201999161793169
N10_buf3x_quarterly_cap3_c0.002_h1,10,3,quarterly,3.0,0.002,1.0,5,20,500000.0,0.2198310243162573,1.0003674561165306,-0.3370024156348139,-0.0386149737034836,0.18,7.0,0.0885846173415195
N25_buf3x_quarterly_cap3_c0.002_h1,25,3,quarterly,3.0,0.002,1.0,5,20,500000.0,0.2593348896593574,1.1709749882032294,-0.3245655701021869,0.2401160581384801,0.29,7.0,0.0885846173415195
N15_buf3x_quarterly_capnone_c0.002_h1,15,3,quarterly,0.0,0.002,1.0,5,20,500000.0,0.2469746116520685,1.1214929301747056,-0.3255310877346328,0.1201999161793169,0.23,7.0,0.0885846173415195
N25_buf3x_quarterly_capnone_c0.002_h1,25,3,quarterly,0.0,0.002,1.0,5,20,500000.0,0.2686269554447067,1.201454826102862,-0.3229838460867973,0.3023700802940047,0.31,7.0,0.0682784407335223
N25_buf2x_quarterly_capnone_c0.002_h1,25,2,quarterly,0.0,0.002,1.0,5,20,500000.0,0.237352665931825,1.0905632589642191,-0.3230042840187203,0.0682784407335223,0.26,7.0,0.0682784407335223
N25_buf1x_quarterly_capnone_c0.002_h1,25,1,quarterly,0.0,0.002,1.0,5,20,500000.0,0.2048264395356109,0.9540042455206222,-0.3519807570429552,-0.1716506992532334,0.31,7.0,0.0682784407335223
N25_buf2x_quarterly_cap3_c0.002_h1,25,2,quarterly,3.0,0.002,1.0,5,20,500000.0,0.2514205152452886,1.1473977245475298,-0.3274402070413226,0.1753643761375912,0.23,7.0,0.0682784407335223
N15_buf2x_quarterly_capnone_c0.002_h1,15,2,quarterly,0.0,0.002,1.0,5,20,500000.0,0.2250032546050409,1.0292804179487858,-0.3520579522201791,-0.0138878183078987,0.2,7.0,0.0682784407335223
N10_buf2x_quarterly_capnone_c0.002_h1,10,2,quarterly,0.0,0.002,1.0,5,20,500000.0,0.2712754519612419,1.138628179830263,-0.3355977760809462,0.2461660133867031,0.17,7.0,0.0682784407335223
N15_buf3x_quarterly_cap3_c0.002_h1,15,3,quarterly,3.0,0.002,1.0,5,20,500000.0,0.242653482988707,1.1248477050980998,-0.3259490213593052,0.0885846173415195,0.2,7.0,0.0502339086905278
