D,archive_symbols,r1_ordinary_equity_recent_trade,removed_r1,r2_turnover_20L,removed_r2,r3_200_sessions_365d,removed_r3,r4_not_lender,removed_r4,r5_four_quarters_fresh,removed_r5,r6_ttm_profit_ebitda_positive,removed_r6,r7_mcap_computable,removed_r7
2019-02-15,1728,1580,148,879,701,863,16,759,104,258,501,237,21,237,0
2019-06-03,1731,1589,142,926,663,909,17,801,108,570,231,505,65,501,4
2019-08-16,1747,1591,156,850,741,835,15,729,106,551,178,487,64,483,4
2019-11-15,1767,1603,164,850,753,817,33,710,107,523,187,460,63,458,2
2020-02-17,1767,1604,163,878,726,845,33,738,107,541,197,476,65,473,3
2020-06-01,1762,1582,180,810,772,784,26,687,97,512,175,447,65,445,2
2020-08-17,1775,1593,182,945,648,930,15,825,105,724,101,599,125,596,3
2020-11-17,1796,1617,179,967,650,948,19,839,109,810,29,627,183,623,4
2021-02-15,1813,1618,195,1137,481,1102,35,988,114,959,29,730,229,728,2
2021-06-01,1839,1667,172,1183,484,1130,53,1013,117,979,34,769,210,767,2
2021-08-16,1872,1684,188,1363,321,1306,57,1175,131,1096,79,897,199,887,10
2021-11-15,1916,1720,196,1330,390,1257,73,1127,130,1067,60,892,175,887,5
2022-02-15,1964,1756,208,1438,318,1340,98,1205,135,1132,73,942,190,938,4
2022-06-01,2006,1803,203,1403,400,1321,82,1191,130,1091,100,918,173,910,8
2022-08-16,2014,1814,200,1296,518,1223,73,1099,124,991,108,864,127,859,5
2022-11-15,2048,1824,224,1432,392,1370,62,1233,137,982,251,833,149,828,5
