D,symbol,cid,status,rank,sector
2019-02-15,NTPC,NTPC,new,1,Power
2019-02-15,POWERGRID,POWERGRID,new,2,Power
2019-02-15,ITC,ITC,new,3,Cigarettes
2019-02-15,RATNAMANI,RATNAMANI,new,4,Steel And Steel Products
2019-02-15,SKFINDIA,SKFINDIA,new,5,Bearings
2019-02-15,COLPAL,COLPAL,new,6,Personal Care
2019-02-15,LT,LT,new,7,Engineering
2019-02-15,BRITANNIA,BRITANNIA,new,8,Food And Food Processing
2019-02-15,AARTIIND,AARTIIND,new,9,Chemicals - Speciality
2019-02-15,MGL,MGL,new,10,
2019-06-03,MGL,MGL,kept,2,
2019-06-03,POWERGRID,POWERGRID,kept,3,Power
2019-06-03,ITC,ITC,kept,4,Cigarettes
2019-06-03,NTPC,NTPC,kept,7,Power
2019-06-03,MAHSEAMLES,MAHSEAMLES,new,1,Steel And Steel Products
2019-06-03,PIIND,PIIND,new,5,Pesticides And Agrochemicals
2019-06-03,TRIDENT,TRIDENT,new,6,Textile Products
2019-06-03,TATASTEEL,TATASTEEL,new,8,Steel And Steel Products
2019-06-03,RELIANCE,RELIANCE,new,9,Refineries
2019-06-03,JBCHEPHARM,JBCHEPHARM,new,10,Pharmaceuticals
2019-08-16,POWERGRID,POWERGRID,kept,2,Power
2019-08-16,NTPC,NTPC,kept,5,Power
2019-08-16,PIIND,PIIND,kept,7,Pesticides And Agrochemicals
2019-08-16,JBCHEPHARM,JBCHEPHARM,kept,8,Pharmaceuticals
2019-08-16,MGL,MGL,kept,11,
2019-08-16,NMDC,NMDC,new,1,Mining
2019-08-16,PSPPROJECT,PSPPROJECT,new,3,
2019-08-16,KNRCON,KNRCON,new,4,Construction
2019-08-16,NHPC,NHPC,new,6,Power
2019-08-16,GSPL,GSPL,new,9,Gas
2019-11-15,PSPPROJECT,PSPPROJECT,kept,1,
2019-11-15,MGL,MGL,kept,5,
2019-11-15,POWERGRID,POWERGRID,kept,9,Power
2019-11-15,KNRCON,KNRCON,kept,10,Construction
2019-11-15,PIIND,PIIND,kept,11,Pesticides And Agrochemicals
2019-11-15,ADANITRANS,ADANIENSOL,new,2,
2019-11-15,DRREDDY,DRREDDY,new,3,Pharmaceuticals
2019-11-15,IGL,IGL,new,4,Gas
2019-11-15,TORNTPOWER,TORNTPOWER,new,6,Power
2019-11-15,GUJGASLTD,GUJENERGY,new,7,
2020-02-17,PSPPROJECT,PSPPROJECT,kept,1,
2020-02-17,POWERGRID,POWERGRID,kept,8,Power
2020-02-17,IGL,IGL,kept,9,Gas
2020-02-17,TORNTPOWER,TORNTPOWER,kept,12,Power
2020-02-17,PIIND,PIIND,kept,17,Pesticides And Agrochemicals
2020-02-17,ADANITRANS,ADANIENSOL,kept,19,
2020-02-17,HCLTECH,HCLTECH,new,2,Computers - Software
2020-02-17,COCHINSHIP,COCHINSHIP,new,3,
2020-02-17,GSPL,GSPL,new,4,Gas
2020-02-17,INDRAMEDCO,INDRAMEDCO,new,5,Miscellaneous
2020-06-01,TORNTPOWER,TORNTPOWER,kept,1,Power
2020-06-01,POWERGRID,POWERGRID,kept,2,Power
2020-06-01,IGL,IGL,kept,4,Gas
2020-06-01,PSPPROJECT,PSPPROJECT,kept,5,
2020-06-01,GSPL,GSPL,kept,7,Gas
2020-06-01,PIIND,PIIND,kept,17,Pesticides And Agrochemicals
2020-06-01,SANOFI,SANOFI,new,3,Pharmaceuticals
2020-06-01,ALKEM,ALKEM,new,6,
