date,mark,strategy,universe_ew
2019-02-15,open,1.0,1.0
2019-02-15,close,0.9983891182981057,0.9893455089645564
2019-02-18,close,0.9957347903010221,0.9784694877773968
2019-02-19,close,0.9912398718556068,0.9824308753713988
2019-02-20,close,0.9966079695739027,0.9928847638364231
2019-02-21,close,1.0049451894416146,1.0060251662578643
2019-02-22,close,1.0094442420607,1.0164769436601382
2019-02-25,close,1.0130126100313053,1.0261163448958086
2019-02-26,close,1.0116228859062233,1.0205921643943385
2019-02-27,close,1.0146556808447476,1.0228355807395284
2019-02-28,close,1.015046946197468,1.031363555187401
2019-03-01,close,1.0217955012910087,1.0562186393993558
2019-03-05,close,1.0298363881620636,1.0907714364046062
2019-03-06,close,1.038135173595533,1.1000423419279908
2019-03-07,close,1.0403091589328877,1.0989698845137428
2019-03-08,close,1.0424591935399545,1.0982324647718265
2019-03-11,close,1.0517950346626281,1.1194530357328623
2019-03-12,close,1.0613196453099918,1.13242910610601
2019-03-13,close,1.0562788164837102,1.1277278679071712
2019-03-14,close,1.059042865790977,1.1266274795649494
2019-03-15,close,1.0631726370674923,1.1209066742139695
2019-03-18,close,1.068641809633437,1.1194738886918192
2019-03-19,close,1.0783095533492282,1.123413616037256
2019-03-20,close,1.0746545308353215,1.1153677653755687
2019-03-22,close,1.0773387067161646,1.1084115831413646
2019-03-25,close,1.0721177849734542,1.094582854372965
2019-03-26,close,1.0872678182938758,1.1029626868087883
2019-03-27,close,1.0907964473112286,1.1099119098214636
2019-03-28,close,1.0944678966105714,1.1162467394595503
2019-03-29,close,1.1009383075945725,1.126861910951154
2019-04-01,close,1.0943609406082244,1.1394229465136427
2019-04-02,close,1.0946134435082584,1.1384172182068077
2019-04-03,close,1.090951360750807,1.1293005921782997
2019-04-04,close,1.0910896818451743,1.1245755673214566
2019-04-05,close,1.0909797769851097,1.1310811203037188
2019-04-08,close,1.0931799345283022,1.1287403496319806
2019-04-09,close,1.0947987359859634,1.1272394564079207
2019-04-10,close,1.0929419617467209,1.1268177005586675
2019-04-11,close,1.0951278659154475,1.1264723059244806
2019-04-12,close,1.0964902030236574,1.1313244718640005
2019-04-15,close,1.0961652597658789,1.1385009010666205
2019-04-16,close,1.100155548166774,1.1403191832069406
2019-04-18,close,1.0907453545677492,1.1287746417454136
2019-04-22,close,1.0834812186932807,1.1140665845784234
2019-04-23,close,1.0768921027157448,1.1099220057339465
2019-04-24,close,1.0750014936488999,1.1129394444929357
2019-04-25,close,1.0737334480347183,1.10965166049017
2019-04-26,close,1.07763022358303,1.1068929517093167
2019-04-30,close,1.0696807529474548,1.0969025025815982
2019-05-02,close,1.0643885857206374,1.0929395093675733
2019-05-03,close,1.0594326285850688,1.0896770599247871
2019-05-06,close,1.0536563347355365,1.0791967731629712
2019-05-07,close,1.053265510424868,1.0694866508533312
2019-05-08,close,1.0416279251651706,1.0553816638078493
2019-05-09,close,1.038467616428807,1.0522774253183715
2019-05-10,close,1.0290439308614858,1.0539401657618104
2019-05-13,close,1.0082644341938474,1.0334818790943803
2019-05-14,close,1.0135488916748676,1.036385273118729
2019-05-15,close,1.0057857912946389,1.0293480249271312
2019-05-16,close,1.0109932749603883,1.0291326401336773
2019-05-17,close,1.0242074229656875,1.0362879442112216
2019-05-20,close,1.0532036735206654,1.0729630939096133
2019-05-21,close,1.0519763674870461,1.06219749311218
2019-05-22,close,1.0516348553229922,1.0657151014469857
2019-05-23,close,1.0581144033917416,1.0666748190266209
2019-05-24,close,1.0738811394582248,1.0935714786873008
2019-05-27,close,1.0971322154437748,1.1188765271952865
2019-05-28,close,1.0965448877461574,1.1246801951437104
2019-05-29,close,1.087818064748194,1.1199983612737403
2019-05-30,close,1.0959715116049291,1.120978134891619
2019-05-31,close,1.0890768745350496,1.1138449134617838
2019-06-03,close,1.0875407087606261,1.112801932660175
2019-06-04,close,1.0914454311885728,1.1092752862419726
2019-06-06,close,1.0825699086261602,1.0916004447731626
2019-06-07,close,1.071523833944408,1.0862020516868383
2019-06-10,close,1.072938719668972,1.0777069602918847
2019-06-11,close,1.0766909751769471,1.077881721327131
2019-06-12,close,1.0765778689746794,1.0725900440037182
2019-06-13,close,1.0821405390600174,1.0665092685560327
2019-06-14,close,1.0798249548673127,1.0578644874767835
2019-06-17,close,1.0663481579555665,1.039528589155388
2019-06-18,close,1.066204525007276,1.0337539238200257
2019-06-19,close,1.0782240528635398,1.0188263339007495
2019-06-20,close,1.078270355378158,1.0299310266978008
2019-06-21,close,1.0780998910718589,1.0310438215101843
2019-06-24,close,1.0657390497406414,1.028547722026918
2019-06-25,close,1.0725051197439077,1.0294940964224046
2019-06-26,close,1.0854441656614724,1.0382106943336349
2019-06-27,close,1.0847964102853471,1.0437564963918575
2019-06-28,close,1.0776548097214873,1.0424427851173985
2019-07-01,close,1.0830155188443003,1.045826213249642
2019-07-02,close,1.0831199694255715,1.0453818929340408
2019-07-03,close,1.0819239077691791,1.0485176911669178
2019-07-04,close,1.0856238832085436,1.0495034818141344
2019-07-05,close,1.0663875619404344,1.0329036020993856
2019-07-08,close,1.0435451449044344,1.0078046685180573
2019-07-09,close,1.0491291045130546,1.00893288810174
2019-07-10,close,1.0408265661599387,1.0023754029015315
2019-07-11,close,1.0492011162963029,1.0054317139978353
2019-07-12,close,1.054006129264435,1.0067312551456638
2019-07-15,close,1.047002628560987,0.9988084180515676
2019-07-16,close,1.0575679788448893,0.9992214911719275
2019-07-17,close,1.0601630822769896,0.9984721298703538
2019-07-18,close,1.0472878768515672,0.9851235539774224
2019-07-19,close,1.0286664311753284,0.9651465191470041
2019-07-22,close,1.0229326781292158,0.9534285742592514
2019-07-23,close,1.03753820106067,0.9567451779511189
2019-07-24,close,1.0308505820183305,0.9456836224251123
2019-07-25,close,1.0256528784971783,0.9434766613371063
2019-07-26,close,1.02596068991711,0.9470040660472308
2019-07-29,close,1.0181748550051737,0.9352621118081571
2019-07-30,close,1.0115063304415937,0.9128895034379549
2019-07-31,close,1.0173505318865974,0.9152383031887917
2019-08-01,close,1.0174014712889612,0.9039466211548687
2019-08-02,close,1.003916490867998,0.900227807126842
2019-08-05,close,0.9915088148918142,0.8840649267988776
2019-08-06,close,0.9915641180047043,0.8969651781707825
2019-08-07,close,0.9857243824885322,0.8963468180774585
2019-08-08,close,0.9992456061525256,0.9008683065587614
2019-08-09,close,0.9916808888565277,0.9134250048543178
2019-08-13,close,0.9892306126703924,0.8996863639310266
2019-08-14,close,1.0036530679544977,0.9032492056010718
2019-08-16,close,1.0007528575972893,0.9016613738711358
2019-08-19,close,1.0025785907311724,0.9027584138131493
2019-08-20,close,0.9960431193709436,0.8963546434243631
2019-08-21,close,0.9907479620650669,0.8790148204999501
2019-08-22,close,0.9756752988531685,0.8569482715484275
2019-08-23,close,0.9736083665282963,0.8641132295439166
2019-08-26,close,0.9787960518441942,0.8797899075197878
2019-08-27,close,0.9852199786813959,0.8987142438839393
2019-08-28,close,0.9738918715367583,0.8911829548924801
2019-08-29,close,0.9720208434275263,0.886527435963592
2019-08-30,close,0.977233245152307,0.8916830135431006
2019-09-03,close,0.967393070803502,0.8792232479211012
2019-09-04,close,0.9734696308560098,0.8824518818711323
2019-09-05,close,0.9889496249903346,0.8907300437128242
2019-09-06,close,1.0028251033111717,0.9036253696867989
2019-09-09,close,1.0046630429538883,0.916820327970334
2019-09-11,close,1.0051789809960299,0.9394433694838578
2019-09-12,close,1.0062776034463379,0.9416299295298415
2019-09-13,close,1.0200988362614092,0.9490419425557609
2019-09-16,close,1.0107516182918481,0.9573157674827832
2019-09-17,close,1.00013421673923,0.9360676040133381
2019-09-18,close,1.0078756467275238,0.9385677855992347
2019-09-19,close,0.992848020055378,0.9241013276718218
2019-09-20,close,1.0125440379324209,0.9565360975361938
2019-09-23,close,1.0144663968579228,0.9820485539687283
2019-09-24,close,1.0133078843302663,0.9815309947480986
2019-09-25,close,1.0105330810473274,0.967878788051713
2019-09-26,close,1.0203288453760682,0.9752662993617188
2019-09-27,close,1.0245414908539232,0.9680040632711754
2019-09-30,close,1.0190114294909538,0.9529471971423414
2019-10-01,close,1.0088405099769033,0.9349759975938101
2019-10-03,close,1.0055567256070574,0.9279106276555226
2019-10-04,close,1.0033876580312147,0.9183522590526195
2019-10-07,close,1.0009919413583679,0.9081781562293764
2019-10-09,close,1.012410711705141,0.9150562026229614
2019-10-10,close,1.009758050907043,0.9079985076985099
2019-10-11,close,1.0207781681490187,0.9089186460753934
2019-10-14,close,1.0297706821802923,0.9118870770569566
2019-10-15,close,1.0354893549304414,0.9144181954908174
2019-10-16,close,1.0354545882310937,0.9166125137141695
2019-10-17,close,1.0370665653414546,0.9262779386084389
2019-10-18,close,1.0462622406047173,0.9423800431604091
2019-10-22,close,1.0432190859371624,0.9467978258569352
2019-10-23,close,1.047045466440124,0.946471300512167
2019-10-24,close,1.0385615672921822,0.9426963063423113
2019-10-25,close,1.0405236225403414,0.938320223101548
2019-10-29,close,1.0527212854858354,0.9573092067639939
2019-10-30,close,1.0483845276617896,0.9629675340812734
2019-10-31,close,1.0605866684398895,0.9716861823680387
2019-11-01,close,1.0554485830228906,0.9760746927024919
2019-11-04,close,1.0716601446604868,0.980551663794126
2019-11-05,close,1.0620224359474475,0.9722245069559967
2019-11-06,close,1.062650509225007,0.9709049915840847
2019-11-07,close,1.0593010063048454,0.974390086148026
2019-11-08,close,1.0508644360650987,0.9697871923941208
2019-11-11,close,1.0547914143688912,0.969752619041969
2019-11-13,close,1.0519199094973815,0.9587279728323733
2019-11-14,close,1.061406979994566,0.9554650946251914
2019-11-15,close,1.051914559891975,0.9527498378936462
2019-11-18,close,1.0549068997426505,0.9541473291145897
2019-11-19,close,1.0565853759387536,0.9537877252113292
2019-11-20,close,1.0604198364197557,0.9552601813456351
2019-11-21,close,1.0636161289783552,0.9518158160648523
2019-11-22,close,1.0491988647135533,0.9514535944434316
2019-11-25,close,1.0479741831353846,0.9600325253536841
2019-11-26,close,1.059188005248053,0.955749483843333
2019-11-27,close,1.0657429360770019,0.9588377150009337
2019-11-28,close,1.0693922025719016,0.960591931669839
2019-11-29,close,1.0776804735700178,0.9617353094115093
2019-12-02,close,1.0886997115660408,0.9572901352055457
2019-12-03,close,1.0737029429310878,0.9479860142961904
2019-12-04,close,1.0803676142544751,0.9511889746318902
2019-12-05,close,1.0760262831263918,0.9511076068581678
2019-12-06,close,1.0699577332860475,0.9422076811758915
2019-12-09,close,1.0864239882830864,0.9398007732593457
2019-12-10,close,1.0802715264489127,0.9271423820825327
2019-12-11,close,1.082587043889979,0.9237505821161505
2019-12-12,close,1.0911939673872086,0.9303790280509899
2019-12-13,close,1.0944565399980037,0.9388020441433312
2019-12-16,close,1.092003817239671,0.937386568360246
2019-12-17,close,1.1005558641369335,0.9453525279669045
2019-12-18,close,1.0982741874020001,0.9467444572865409
2019-12-19,close,1.0938920801722247,0.9485639840505564
2019-12-20,close,1.103044190936242,0.9488793892141703
2019-12-23,close,1.0977344469025816,0.9477755179325298
2019-12-24,close,1.0930649466520173,0.9483896752888603
2019-12-26,close,1.0869690230782858,0.9524973761309767
2019-12-27,close,1.0913647594603662,0.9607524236926408
2019-12-30,close,1.0986148120231212,0.9690226046873813
2019-12-31,close,1.1077868182487869,0.9715290583099503
2020-01-01,close,1.123678700937873,0.9786424206278042
2020-01-02,close,1.1362380562949266,0.9979454720585403
2020-01-03,close,1.1295319829887047,0.9970865009285211
2020-01-06,close,1.112280733706732,0.9725085336705754
2020-01-07,close,1.1190740162383763,0.984314560332573
2020-01-08,close,1.1234019721374429,0.9825614612082514
2020-01-09,close,1.133852059029381,1.0001573704892048
2020-01-10,close,1.1384196586849824,1.0065189509967423
2020-01-13,close,1.151617382441351,1.0200692590798301
2020-01-14,close,1.1592314288442167,1.0272368354522359
2020-01-15,close,1.1759944364107962,1.036597826501078
2020-01-16,close,1.1868626359621404,1.0471816115374948
