D,symbol,action,weight,ticker,rank,sector,sector_source,composite
2019-02-15,NTPC,buy,0.1,NTPC,1.0,Power,backfill,0.7228731620919626
2019-02-15,POWERGRID,buy,0.1,POWERGRID,2.0,Power,backfill,0.684094903994364
2019-02-15,ITC,buy,0.1,ITC,3.0,Cigarettes,backfill,0.6827796290632546
2019-02-15,RATNAMANI,buy,0.1,RATNAMANI,4.0,Steel And Steel Products,backfill,0.6774327564930668
2019-02-15,SKFINDIA,buy,0.1,SKFINDIA,5.0,Bearings,backfill,0.6701769778195711
2019-02-15,COLPAL,buy,0.1,COLPAL,6.0,Personal Care,backfill,0.6651479303896373
2019-02-15,LT,buy,0.1,LT,7.0,Engineering,backfill,0.6576592016749822
2019-02-15,BRITANNIA,buy,0.1,BRITANNIA,8.0,Food And Food Processing,backfill,0.6560535361327814
2019-02-15,AARTIIND,buy,0.1,AARTIIND,9.0,Chemicals - Speciality,backfill,0.6496063000512781
2019-02-15,MGL,buy,0.1,MGL,10.0,,none,0.6494629572992129
2019-06-03,MGL,keep,0.1,MGL,2.0,,none,0.7615893224598086
2019-06-03,POWERGRID,keep,0.1,POWERGRID,3.0,Power,backfill,0.7285731850483743
2019-06-03,ITC,keep,0.1,ITC,4.0,Cigarettes,backfill,0.7220439545125392
2019-06-03,NTPC,keep,0.1,NTPC,7.0,Power,backfill,0.698985094327474
2019-06-03,MAHSEAMLES,buy,0.1,MAHSEAMLES,1.0,Steel And Steel Products,backfill,0.7981327182135949
2019-06-03,PIIND,buy,0.1,PIIND,5.0,Pesticides And Agrochemicals,backfill,0.7008576902756574
2019-06-03,TRIDENT,buy,0.1,TRIDENT,6.0,Textile Products,backfill,0.6992236847559852
2019-06-03,TATASTEEL,buy,0.1,TATASTEEL,8.0,Steel And Steel Products,backfill,0.6980353808512009
2019-06-03,RELIANCE,buy,0.1,RELIANCE,9.0,Refineries,backfill,0.6973367780567897
2019-06-03,JBCHEPHARM,buy,0.1,JBCHEPHARM,10.0,Pharmaceuticals,backfill,0.6969057642558454
2019-06-03,COLPAL,sell,0.0,COLPAL,92.0,Personal Care,backfill,0.6007456915598762
2019-06-03,AARTIIND,sell,0.0,AARTIIND,60.0,Chemicals - Speciality,backfill,0.6247488893181379
2019-06-03,SKFINDIA,sell,0.0,SKFINDIA,28.0,Bearings,backfill,0.6594490603415353
2019-06-03,LT,sell,0.0,LT,101.0,Engineering,backfill,0.5966122483270313
2019-06-03,BRITANNIA,sell,0.0,BRITANNIA,86.0,Food And Food Processing,backfill,0.603217193540449
2019-06-03,RATNAMANI,sell,0.0,RATNAMANI,38.0,Steel And Steel Products,backfill,0.6509746635760736
2019-08-16,POWERGRID,keep,0.1,POWERGRID,2.0,Power,backfill,0.7142405229582452
2019-08-16,NTPC,keep,0.1,NTPC,5.0,Power,backfill,0.7000404620025013
2019-08-16,PIIND,keep,0.1,PIIND,7.0,Pesticides And Agrochemicals,backfill,0.6950883332807853
2019-08-16,JBCHEPHARM,keep,0.1,JBCHEPHARM,8.0,Pharmaceuticals,backfill,0.6935513026662884
2019-08-16,MGL,keep,0.1,MGL,11.0,,none,0.6892786202982627
2019-08-16,NMDC,buy,0.1,NMDC,1.0,Mining,backfill,0.7183718510577923
2019-08-16,PSPPROJECT,buy,0.1,PSPPROJECT,3.0,,none,0.7095942239177728
2019-08-16,KNRCON,buy,0.1,KNRCON,4.0,Construction,backfill,0.7049652657355151
2019-08-16,NHPC,buy,0.1,NHPC,6.0,Power,backfill,0.6956826517850574
2019-08-16,GSPL,buy,0.1,GSPL,9.0,Gas,backfill,0.6914703996805078
2019-08-16,TATASTEEL,sell,0.0,TATASTEEL,134.0,Steel And Steel Products,backfill,0.5742693192924929
2019-08-16,TRIDENT,sell,0.0,,,,,
2019-08-16,RELIANCE,sell,0.0,RELIANCE,30.0,Refineries,backfill,0.6628416937289151
2019-08-16,MAHSEAMLES,sell,0.0,MAHSEAMLES,21.0,Steel And Steel Products,backfill,0.6725436411598407
2019-08-16,ITC,sell,0.0,ITC,32.0,Cigarettes,backfill,0.6577587203497599
2019-11-15,PSPPROJECT,keep,0.1,PSPPROJECT,1.0,,none,0.77879858412258
2019-11-15,MGL,keep,0.1,MGL,6.0,,none,0.7208446646165494
2019-11-15,POWERGRID,keep,0.1,POWERGRID,9.0,Power,backfill,0.7098130125943204
2019-11-15,KNRCON,keep,0.1,KNRCON,10.0,Construction,backfill,0.7072249735068965
2019-11-15,PIIND,keep,0.1,PIIND,11.0,Pesticides And Agrochemicals,backfill,0.7055824357570406
2019-11-15,ADANIENSOL,buy,0.1,ADANITRANS,2.0,,none,0.7419091084624363
2019-11-15,DRREDDY,buy,0.1,DRREDDY,3.0,Pharmaceuticals,backfill,0.7287252319381512
2019-11-15,IGL,buy,0.1,IGL,4.0,Gas,backfill,0.7258182356442391
2019-11-15,TORNTPOWER,buy,0.1,TORNTPOWER,5.0,Power,backfill,0.7208738009639089
2019-11-15,GUJENERGY,buy,0.1,GUJGASLTD,7.0,,none,0.7117234192794916
2019-11-15,NTPC,sell,0.0,,,,,
2019-11-15,JBCHEPHARM,sell,0.0,JBCHEPHARM,21.0,Pharmaceuticals,backfill,0.6793658935914941
2019-11-15,GSPL,sell,0.0,GSPL,23.0,Gas,backfill,0.6732172316622139
2019-11-15,NHPC,sell,0.0,NHPC,31.0,Power,backfill,0.6601002162086835
2019-11-15,NMDC,sell,0.0,NMDC,207.0,Mining,backfill,0.5177074461133568
2020-02-17,PSPPROJECT,keep,0.1,PSPPROJECT,1.0,,none,0.7681594113910577
2020-02-17,POWERGRID,keep,0.1,POWERGRID,8.0,Power,backfill,0.6985021778498995
2020-02-17,IGL,keep,0.1,IGL,9.0,Gas,backfill,0.6963771085786081
2020-02-17,TORNTPOWER,keep,0.1,TORNTPOWER,12.0,Power,backfill,0.6915697319973528
2020-02-17,PIIND,keep,0.1,PIIND,17.0,Pesticides And Agrochemicals,backfill,0.6806148119307158
2020-02-17,ADANIENSOL,keep,0.1,ADANITRANS,19.0,,none,0.6734739425279608
2020-02-17,HCLTECH,buy,0.1,HCLTECH,2.0,Computers - Software,backfill,0.728355315926045
2020-02-17,COCHINSHIP,buy,0.1,COCHINSHIP,3.0,,none,0.7210812470787061
2020-02-17,GSPL,buy,0.1,GSPL,4.0,Gas,backfill,0.7118893502693371
2020-02-17,INDRAMEDCO,buy,0.1,INDRAMEDCO,5.0,Miscellaneous,backfill,0.7117233859371026
2020-02-17,MGL,sell,0.0,MGL,48.0,,none,0.641934946008139
2020-02-17,KNRCON,sell,0.0,KNRCON,56.0,Construction,backfill,0.6366159711145561
2020-02-17,GUJENERGY,sell,0.0,GUJGASLTD,40.0,,none,0.6493112113679709
2020-02-17,DRREDDY,sell,0.0,DRREDDY,275.0,Pharmaceuticals,backfill,0.47608329792214965
2020-06-01,TORNTPOWER,keep,0.1,TORNTPOWER,1.0,Power,backfill,0.7690494622614799
2020-06-01,POWERGRID,keep,0.1,POWERGRID,2.0,Power,backfill,0.7304998378935849
2020-06-01,IGL,keep,0.1,IGL,4.0,Gas,backfill,0.7075796558649514
2020-06-01,PSPPROJECT,keep,0.1,PSPPROJECT,5.0,,none,0.7056605359634183
2020-06-01,GSPL,keep,0.1,GSPL,7.0,Gas,backfill,0.7030230572536386
2020-06-01,PIIND,keep,0.1,PIIND,17.0,Pesticides And Agrochemicals,backfill,0.678209186225796
2020-06-01,SANOFI,buy,0.1,SANOFI,3.0,Pharmaceuticals,backfill,0.7120240562986044
2020-06-01,ALKEM,buy,0.1,ALKEM,6.0,,none,0.7053328609508386
2020-06-01,COROMANDEL,buy,0.1,COROMANDEL,8.0,Fertilisers,backfill,0.7000269712800246
2020-06-01,MPHASIS,buy,0.1,MPHASIS,9.0,Computers - Software,backfill,0.6970528833670017
2020-06-01,INDRAMEDCO,sell,0.0,INDRAMEDCO,32.0,Miscellaneous,backfill,0.6582884423260584
2020-06-01,ADANIENSOL,sell,0.0,,,,,
2020-06-01,COCHINSHIP,sell,0.0,COCHINSHIP,54.0,,none,0.63853445531511
2020-06-01,HCLTECH,sell,0.0,HCLTECH,34.0,Computers - Software,backfill,0.6550733879947362
2020-08-17,COROMANDEL,keep,0.1,COROMANDEL,1.0,Fertilisers,backfill,0.7895959351824438
2020-08-17,TORNTPOWER,keep,0.1,TORNTPOWER,4.0,Power,backfill,0.736714267877232
2020-08-17,PIIND,keep,0.1,PIIND,9.0,Pesticides And Agrochemicals,backfill,0.726789911095257
2020-08-17,POWERGRID,keep,0.1,POWERGRID,15.0,Power,backfill,0.7049424684336317
2020-08-17,ALKEM,keep,0.1,ALKEM,17.0,,none,0.7039561681059482
2020-08-17,HCLTECH,buy,0.1,HCLTECH,2.0,Computers - Software,backfill,0.7429242300232437
2020-08-17,POLYPLEX,buy,0.1,POLYPLEX,3.0,Packaging,backfill,0.7394969708150939
2020-08-17,CHAMBLFERT,buy,0.1,CHAMBLFERT,5.0,Fertilisers,backfill,0.7366426708283438
2020-08-17,ZYDUSLIFE,buy,0.1,CADILAHC,6.0,,none,0.7343018213472101
2020-08-17,LTM,buy,0.1,LTI,7.0,,none,0.7318176171927993
2020-08-17,SANOFI,sell,0.0,SANOFI,22.0,Pharmaceuticals,backfill,0.6950843089638332
2020-08-17,GSPL,sell,0.0,GSPL,95.0,Gas,backfill,0.614624409059061
2020-08-17,PSPPROJECT,sell,0.0,PSPPROJECT,408.0,,none,0.45278289157858637
2020-08-17,IGL,sell,0.0,IGL,51.0,Gas,backfill,0.6568262842785517
2020-08-17,MPHASIS,sell,0.0,MPHASIS,31.0,Computers - Software,backfill,0.6828526156917777
2020-11-17,ZYDUSLIFE,keep,0.1,CADILAHC,3.0,,none,0.7316981525665528
2020-11-17,PIIND,keep,0.1,PIIND,11.0,Pesticides And Agrochemicals,backfill,0.704299513385702
2020-11-17,HCLTECH,keep,0.1,HCLTECH,13.0,Computers - Software,backfill,0.7035108030693402
2020-11-17,LTM,keep,0.1,LTI,20.0,,none,0.6920946323609939
2020-11-17,UFLEX,buy,0.1,UFLEX,1.0,Packaging,backfill,0.7824590463693946
2020-11-17,JKCEMENT,buy,0.1,JKCEMENT,2.0,Cement And Cement Products,backfill,0.7455317034141925
2020-11-17,EVEREADY,buy,0.1,EVEREADY,4.0,Electrical Equipment,backfill,0.7310840138486971
2020-11-17,KELLTONTEC,buy,0.1,KELLTONTEC,5.0,,none,0.7254584458624537
2020-11-17,JINDALPOLY,buy,0.1,JINDALPOLY,6.0,Packaging,backfill,0.7198572612882066
2020-11-17,INDSWFTLAB,buy,0.1,INDSWFTLAB,7.0,Pharmaceuticals,backfill,0.7132675335159787
2020-11-17,ALKEM,sell,0.0,ALKEM,66.0,,none,0.6417508229623172
2020-11-17,COROMANDEL,sell,0.0,COROMANDEL,49.0,Fertilisers,backfill,0.6563659409846877
2020-11-17,POWERGRID,sell,0.0,POWERGRID,26.0,Power,backfill,0.6839251234913601
2020-11-17,POLYPLEX,sell,0.0,POLYPLEX,64.0,Packaging,backfill,0.6440534371154765
2020-11-17,CHAMBLFERT,sell,0.0,CHAMBLFERT,23.0,Fertilisers,backfill,0.6847516759176486
2020-11-17,TORNTPOWER,sell,0.0,TORNTPOWER,131.0,Power,backfill,0.5992778934071402
2021-02-15,UFLEX,keep,0.1,UFLEX,1.0,Packaging,backfill,0.7472988810112602
2021-02-15,INDSWFTLAB,keep,0.1,INDSWFTLAB,3.0,Pharmaceuticals,backfill,0.7171500753851064
2021-02-15,EVEREADY,keep,0.1,EVEREADY,6.0,Electrical Equipment,backfill,0.7098734174736916
2021-02-15,JINDALPOLY,keep,0.1,JINDALPOLY,11.0,Packaging,backfill,0.6930167474760607
2021-02-15,HCLTECH,keep,0.1,HCLTECH,12.0,Computers - Software,backfill,0.692181859020122
2021-02-15,JKCEMENT,keep,0.1,JKCEMENT,15.0,Cement And Cement Products,backfill,0.6829961433266873
2021-02-15,GPIL,buy,0.1,GPIL,2.0,Steel And Steel Products,backfill,0.7387878663442073
2021-02-15,STEELXIND,buy,0.1,STEELXIND,4.0,,none,0.7163024018015361
2021-02-15,KNRCON,buy,0.1,KNRCON,5.0,Construction,backfill,0.7151203690744883
2021-02-15,TATASTLBSL,buy,0.1,TATASTLBSL,7.0,,none,0.7059662274435035
2021-02-15,ZYDUSLIFE,sell,0.0,CADILAHC,21.0,,none,0.6746667559824392
2021-02-15,LTM,sell,0.0,LTI,41.0,,none,0.6540585445190119
2021-02-15,KELLTONTEC,sell,0.0,KELLTONTEC,141.0,,none,0.5966779275406457
2021-02-15,PIIND,sell,0.0,PIIND,30.0,Pesticides And Agrochemicals,backfill,0.6649048838191097
2021-06-01,TATASTLBSL,keep,0.1,TATASTLBSL,1.0,,none,0.7359014855443415
2021-06-01,GPIL,keep,0.1,GPIL,2.0,Steel And Steel Products,backfill,0.7319337967863417
2021-06-01,UFLEX,keep,0.1,UFLEX,12.0,Packaging,backfill,0.6803477667410733
2021-06-01,VEDL,buy,0.1,VEDL,3.0,,none,0.7285553648070247
2021-06-01,JSWSTEEL,buy,0.1,JSWSTEEL,4.0,Steel And Steel Products,backfill,0.7274396010154691
2021-06-01,TATASTEEL,buy,0.1,TATASTEEL,5.0,Steel And Steel Products,backfill,0.7196735588432923
2021-06-01,COSMOFIRST,buy,0.1,COSMOFILMS,7.0,,none,0.704049683653588
2021-06-01,SALASAR,buy,0.1,SALASAR,10.0,,none,0.6953270392440859
2021-06-01,GULPOLY,buy,0.1,GULPOLY,11.0,,none,0.6918298164359047
2021-06-01,DALBHARAT,buy,0.1,DALBHARAT,13.0,,none,0.6784884450826151
2021-06-01,STEELXIND,sell,0.0,STEELXIND,26.0,,none,0.6589272415339701
2021-06-01,HCLTECH,sell,0.0,HCLTECH,297.0,Computers - Software,backfill,0.5369380780013575
2021-06-01,JINDALPOLY,sell,0.0,JINDALPOLY,74.0,Packaging,backfill,0.6250776297655951
2021-06-01,INDSWFTLAB,sell,0.0,INDSWFTLAB,82.0,Pharmaceuticals,backfill,0.6219415379898445
2021-06-01,JKCEMENT,sell,0.0,JKCEMENT,37.0,Cement And Cement Products,backfill,0.6489351615250755
2021-06-01,EVEREADY,sell,0.0,EVEREADY,123.0,Electrical Equipment,backfill,0.5995093471714562
2021-06-01,KNRCON,sell,0.0,KNRCON,67.0,Construction,backfill,0.6265901664109513
2021-08-16,TATASTEEL,keep,0.1,TATASTEEL,1.0,Steel And Steel Products,backfill,0.7425406439892643
2021-08-16,TATASTLBSL,keep,0.1,TATASTLBSL,2.0,,none,0.7391284157263556
2021-08-16,JSWSTEEL,keep,0.1,JSWSTEEL,4.0,Steel And Steel Products,backfill,0.7278043883977643
2021-08-16,STYRENIX,buy,0.1,INEOSSTYRO,3.0,,none,0.7375295809460767
2021-08-16,GRASIM,buy,0.1,GRASIM,5.0,Cement And Cement Products,backfill,0.7155056054834883
2021-08-16,HGINFRA,buy,0.1,HGINFRA,6.0,,none,0.7150409522883897
2021-08-16,SHIVAMILLS,buy,0.1,SHIVAMILLS,7.0,,none,0.7134384814469098
2021-08-16,SPLPETRO,buy,0.1,SUPPETRO,8.0,Petrochemicals,backfill,0.7126094361744875
