date,strategy_open,universe_ew_open
2019-02-15,500000.0,500000.0
2019-06-03,547334.548962678,557300.1959053753
2019-08-16,501281.1583585225,450388.14800675795
2019-11-15,533117.0781013042,478683.3803984837
2020-02-17,611481.700982908,509007.8290875621
2020-06-01,507565.65969873534,385801.6454358813
2020-08-17,583041.498973228,500976.1232159225
2020-11-17,631225.8506519179,553296.0740125824
2021-02-15,791371.7298858649,699474.0568948447
2021-06-01,1078326.7061426924,868841.4585225944
2021-08-16,1329798.1933887082,1018334.0941201459
2021-11-15,1464153.1457481845,1104499.1743367056
2022-02-15,1498684.5277311122,1086737.1806637298
2022-06-01,1316507.5958151117,1060336.0525651143
2022-08-16,1350580.6346336694,1119114.5673219352
2022-11-15,1441401.8072243147,1181766.916053443
2023-02-15,1321264.8287113726,1143750.630061688
2023-06-01,1463081.7891130259,1274328.824852493
2023-08-16,1808085.64184236,1475048.383403468
2023-11-15,2090176.011004039,1674774.437586726
2024-02-15,2672797.280010644,1954132.7495056142
2024-06-03,3193641.625078987,2068409.5146940886
2024-08-16,3373847.150715869,2290661.839200716
2024-11-18,3275639.5700736563,2242947.220620567
2025-02-17,2883194.1548048663,1925793.517596761
2025-06-02,3211482.1473673917,2151043.1155307386
2025-08-18,3503304.775651701,2152702.8663479616
2025-11-17,3710958.2325540734,2179095.467750161
2026-02-16,3838516.9035898075,1999037.8815735206
2026-06-01,3534997.1456449833,2131790.309467484
2026-08-17,3679787.138780776,2288191.762741646
