D,archive_symbols,r1_ordinary_equity_recent_trade,removed_r1,r2_turnover_20L,removed_r2,r3_200_sessions_365d,removed_r3,r4_not_lender,removed_r4,r5_four_quarters_fresh,removed_r5,r6_ttm_profit_ebitda_positive,removed_r6,r7_mcap_computable,removed_r7
2019-02-15,1728,1580,148,879,701,863,16,759,104,258,501,237,21,237,0
2019-06-03,1731,1589,142,926,663,909,17,801,108,570,231,505,65,501,4
2019-08-16,1747,1591,156,850,741,835,15,729,106,551,178,487,64,483,4
2019-11-15,1767,1603,164,850,753,817,33,710,107,523,187,460,63,458,2
2020-02-17,1767,1604,163,878,726,845,33,738,107,541,197,476,65,473,3
2020-06-01,1762,1582,180,810,772,784,26,687,97,512,175,447,65,445,2
2020-08-17,1775,1593,182,945,648,930,15,825,105,724,101,599,125,596,3
2020-11-17,1796,1617,179,967,650,948,19,839,109,810,29,627,183,623,4
2021-02-15,1813,1618,195,1137,481,1102,35,988,114,959,29,730,229,728,2
2021-06-01,1839,1667,172,1183,484,1130,53,1013,117,979,34,769,210,767,2
2021-08-16,1872,1684,188,1363,321,1306,57,1175,131,1096,79,897,199,887,10
2021-11-15,1916,1720,196,1330,390,1257,73,1127,130,1067,60,892,175,887,5
2022-02-15,1964,1756,208,1438,318,1340,98,1205,135,1132,73,942,190,938,4
2022-06-01,2006,1803,203,1403,400,1321,82,1191,130,1091,100,918,173,910,8
2022-08-16,2014,1814,200,1296,518,1223,73,1099,124,991,108,864,127,859,5
2022-11-15,2048,1824,224,1432,392,1370,62,1233,137,982,251,833,149,828,5
2023-02-15,2089,1852,237,1424,428,1359,65,1223,136,1015,208,863,152,862,1
2023-06-01,2125,1862,263,1386,476,1332,54,1198,134,990,208,862,128,854,8
2023-08-16,2152,1890,262,1477,413,1417,60,1274,143,1191,83,1036,155,1032,4
2023-11-15,2205,1909,296,1535,374,1467,68,1318,149,1262,56,1082,180,1081,1
2024-02-15,2235,1941,294,1686,255,1597,89,1440,157,1403,37,1177,226,1174,3
2024-06-03,2255,1970,285,1639,331,1545,94,1392,153,1370,22,1182,188,1181,1
2024-08-16,2286,1987,299,1727,260,1646,81,1480,166,1457,23,1247,210,1239,8
2024-11-18,2353,2021,332,1737,284,1651,86,1485,166,1469,16,1271,198,1265,6
2025-02-17,2389,2059,330,1714,345,1621,93,1456,165,1445,11,1259,186,1255,4
2025-06-02,2427,2078,349,1695,383,1593,102,1428,165,1422,6,1249,173,1237,12
2025-08-18,2494,2125,369,1694,431,1603,91,1437,166,1426,11,1241,185,1231,10
2025-11-17,2567,2172,395,1707,465,1599,108,1432,167,1422,10,1254,168,1247,7
2026-02-16,2610,2203,407,1714,489,1575,139,1410,165,1401,9,1242,159,1235,7
2026-06-01,2771,2345,426,1781,564,1644,137,1476,168,1468,8,1315,153,1312,3
2026-08-17,2814,2379,435,1785,594,1648,137,1478,170,1470,8,1336,134,1334,2
