t,k,d,px,val,date,cid
425,21,7.032158906538671e-05,1419.2,0.09980039920159682,2019-02-15,AARTIIND
425,505,3.3888081222953085e-05,2945.0,0.09980039920159683,2019-02-15,BRITANNIA
425,627,7.952223043951938e-05,1255.0,0.09980039920159682,2019-02-15,COLPAL
425,1487,0.00035770752402006033,279.0,0.09980039920159683,2019-02-15,ITC
425,1812,8.022540128745727e-05,1244.0,0.09980039920159685,2019-02-15,LT
425,1953,0.00011485832570099763,868.9,0.09980039920159683,2019-02-15,MGL
425,2227,0.0007560636303151275,132.0,0.09980039920159683,2019-02-15,NTPC
425,2413,0.0005594192780358567,178.4,0.09980039920159685,2019-02-15,POWERGRID
425,2539,0.00011775163612954615,847.55,0.09980039920159683,2019-02-15,RATNAMANI
425,2905,5.0660101117561847e-05,1970.0,0.09980039920159683,2019-02-15,SKFINDIA
495,21,-7.032158906538671e-05,1879.85,-0.1321940392045672,2019-06-03,AARTIIND
495,505,-3.3888081222953085e-05,2936.0,-0.09949540647059026,2019-06-03,BRITANNIA
495,627,-7.952223043951938e-05,1152.4,-0.09164141835850215,2019-06-03,COLPAL
495,1812,-8.022540128745727e-05,1563.7,-0.12544845999319693,2019-06-03,LT
495,2227,-9.279042042178672e-05,134.4,-0.012471032504688137,2019-06-03,NTPC
495,2539,-0.00011775163612954615,960.0,-0.11304157068436431,2019-06-03,RATNAMANI
495,2905,-5.0660101117561847e-05,1894.05,-0.09595276452171801,2019-06-03,SKFINDIA
495,1487,3.117627423222737e-05,281.4,0.00877300356894878,2019-06-03,ITC
495,1524,0.00028696358649068306,379.95,0.10903181468713502,2019-06-03,JBCHEPHARM
495,1853,0.00023500768334332368,463.95,0.10903181468713502,2019-06-03,MAHSEAMLES
495,1953,8.381773614552776e-06,888.0,0.007443014969722865,2019-06-03,MGL
495,2373,9.497544833374131e-05,1148.0,0.10903181468713502,2019-06-03,PIIND
495,2413,1.5901810814575876e-05,190.25,0.0030253195074730604,2019-06-03,POWERGRID
495,2562,8.167177130122474e-05,1335.0,0.10903181468713502,2019-06-03,RELIANCE
495,3122,0.00022299174698258518,488.95,0.10903181468713502,2019-06-03,TATASTEEL
495,3232,0.0016093256780388933,67.75,0.10903181468713502,2019-06-03,TRIDENT
546,1487,-0.0003888837982522877,248.75,-0.09673484481525657,2019-08-16,ITC
546,1524,-1.993407078498447e-05,375.45,-0.007484246876222419,2019-08-16,JBCHEPHARM
546,1853,-0.00023500768334332368,401.2,-0.09428508255734146,2019-08-16,MAHSEAMLES
546,2373,-6.2531194207284424e-06,1130.0,-0.00706602494542314,2019-08-16,PIIND
546,2413,-8.410976267843578e-05,204.1,-0.017166802562668743,2019-08-16,POWERGRID
546,2562,-8.167177130122474e-05,1291.2,-0.10545459110414139,2019-08-16,RELIANCE
546,3122,-0.00022299174698258518,360.0,-0.08027702891373066,2019-08-16,TATASTEEL
546,3232,-0.0016093256780388933,56.0,-0.09012223797017802,2019-08-16,TRIDENT
546,1183,0.0004498166801630251,222.0,0.09985930299619157,2019-08-16,GSPL
546,1670,0.00042134727002612475,237.0,0.09985930299619157,2019-08-16,KNRCON
546,1953,1.2658374291749097e-06,805.2,0.0010192522979716374,2019-08-16,MGL
546,2167,0.004389419911920509,22.75,0.09985930299619158,2019-08-16,NHPC
546,2210,0.0009537660267067008,104.7,0.09985930299619157,2019-08-16,NMDC
546,2227,3.932904479623156e-05,117.4,0.004617229859077586,2019-08-16,NTPC
546,2467,0.0001894863434462838,527.0,0.09985930299619157,2019-08-16,PSPPROJECT
604,1183,-0.0004498166801630251,218.7,-0.09837490795165359,2019-11-15,GSPL
604,1524,-0.0002670295157056986,395.95,-0.10573033674367135,2019-11-15,JBCHEPHARM
604,1953,-2.0887457036017e-05,1029.0,-0.021493193290061493,2019-11-15,MGL
604,2167,-0.004389419911920509,23.6,-0.10359030992132402,2019-11-15,NHPC
604,2210,-0.0009537660267067008,99.0,-0.09442283664396338,2019-11-15,NMDC
604,2227,-0.0008538149807525978,118.55,-0.10121976596822047,2019-11-15,NTPC
604,2373,-1.4355517669587691e-05,1433.75,-0.02058222345877135,2019-11-15,PIIND
604,64,0.0003904442671621087,272.0,0.10620084066809357,2019-11-15,ADANIENSOL
604,798,3.8646594129582814e-05,2748.0,0.10620084066809357,2019-11-15,DRREDDY
604,1195,0.0005366389119155814,197.9,0.10620084066809357,2019-11-15,GUJENERGY
604,1377,0.0002498843309837496,425.0,0.10620084066809359,2019-11-15,IGL
604,1670,5.210973697559768e-06,249.95,0.001302482875705064,2019-11-15,KNRCON
604,2413,7.563355439540304e-05,188.0,0.01421910822633577,2019-11-15,POWERGRID
604,2467,8.682317236415044e-06,537.95,0.004670652557329473,2019-11-15,PSPPROJECT
604,3214,0.0003624602070583398,293.0,0.10620084066809357,2019-11-15,TORNTPOWER
669,64,-1.9849296869437188e-05,330.0,-0.006550267966914272,2020-02-17,ADANIENSOL
669,798,-3.8646594129582814e-05,3325.8,-0.12853084275616652,2020-02-17,DRREDDY
669,1195,-0.0005366389119155814,300.0,-0.16099167357467442,2020-02-17,GUJENERGY
669,1670,-0.0004265582437236845,283.7,-0.1210145737444093,2020-02-17,KNRCON
669,1953,-0.00010361847970870831,1167.0,-0.1209227658200626,2020-02-17,MGL
669,622,0.00034482131989718647,353.25,0.12180813125368112,2020-02-17,COCHINSHIP
669,1183,0.0005033393853457898,242.0,0.12180813125368113,2020-02-17,GSPL
669,1240,0.00019551866974908686,623.0,0.12180813125368112,2020-02-17,HCLTECH
669,1377,1.129901021061793e-06,487.2,0.0005504877774613055,2020-02-17,IGL
669,1426,0.002862705787395561,42.55,0.12180813125368112,2020-02-17,INDRAMEDCO
669,2373,4.059776666329675e-06,1559.05,0.00632939481164128,2020-02-17,PIIND
669,2413,9.384030434821935e-05,185.0,0.01736045630442058,2020-02-17,POWERGRID
669,2467,3.732017985542672e-05,519.0,0.01936917334496647,2020-02-17,PSPPROJECT
669,3214,1.5518830304714424e-05,323.5,0.005020341603575116,2020-02-17,TORNTPOWER
736,64,-0.00037059497029267154,172.0,-0.06374233489033951,2020-06-01,ADANIENSOL
736,622,-0.00034482131989718647,226.2,-0.07799858256074357,2020-06-01,COCHINSHIP
736,1240,-0.00019551866974908686,557.0,-0.10890389905024138,2020-06-01,HCLTECH
736,1377,-3.364135847216238e-05,467.0,-0.015710514406499832,2020-06-01,IGL
736,1426,-0.002862705787395561,38.15,-0.10921222578914065,2020-06-01,INDRAMEDCO
736,2373,-1.3850804233070952e-05,1572.0,-0.021773464254387535,2020-06-01,PIIND
736,2413,-2.042575924707875e-05,158.55,-0.003238504128624336,2020-06-01,POWERGRID
736,3214,-6.320963599949737e-05,322.5,-0.020385107609837902,2020-06-01,TORNTPOWER
736,146,4.4153916888156466e-05,2290.0,0.10111246967387831,2020-06-01,ALKEM
736,648,0.00015321231862092325,659.95,0.10111246967387831,2020-06-01,COROMANDEL
736,1183,4.20959366714596e-06,200.0,0.000841918733429192,2020-06-01,GSPL
736,2063,0.00011520819196021,877.65,0.10111246967387831,2020-06-01,MPHASIS
736,2467,7.184203381891755e-05,330.0,0.023707871160242793,2020-06-01,PSPPROJECT
736,2690,1.2921721364073905e-05,7825.0,0.10111246967387831,2020-06-01,SANOFI
791,146,-4.639074531448356e-06,2951.0,-0.013689908942304098,2020-08-17,ALKEM
791,1183,-0.0005075489790129357,213.95,-0.1085901040598176,2020-08-17,GSPL
791,1377,-0.000217372873532649,391.0,-0.08499279355126577,2020-08-17,IGL
791,2063,-0.00011520819196021,1200.0,-0.138249830352252,2020-08-17,MPHASIS
791,2373,-4.638338395447384e-06,1945.5,-0.009023887348342885,2020-08-17,PIIND
791,2467,-0.0003073308743570431,400.8,-0.12317821444230288,2020-08-17,PSPPROJECT
791,2690,-1.2921721364073905e-05,8350.0,-0.1078963733900171,2020-08-17,SANOFI
791,584,0.0007544456136729862,153.95,0.11614690222495622,2020-08-17,CHAMBLFERT
791,648,1.0477074382291235e-06,755.9,0.0007919620525573944,2020-08-17,COROMANDEL
791,1240,0.00016333413334967826,711.1,0.11614690222495622,2020-08-17,HCLTECH
791,1817,4.73856236893461e-05,2451.1,0.11614690222495622,2020-08-17,LTM
791,2409,0.00014339123731476076,810.0,0.11614690222495622,2020-08-17,POLYPLEX
791,2413,2.219954380317619e-05,176.0,0.00390711970935901,2020-08-17,POWERGRID
791,3214,2.425971624714368e-05,343.85,0.008341703431580355,2020-08-17,TORNTPOWER
791,3507,0.00029098559996231047,399.15,0.11614690222495622,2020-08-17,ZYDUSLIFE
855,146,-3.951484235670811e-05,2710.0,-0.10708522278667898,2020-11-17,ALKEM
855,584,-0.0007544456136729862,185.3,-0.13979877221360434,2020-11-17,CHAMBLFERT
855,648,-0.00015426002605915237,754.4,-0.11637376365902455,2020-11-17,COROMANDEL
855,1240,-1.2674583101592382e-05,837.95,-0.010620666909979338,2020-11-17,HCLTECH
855,1817,-5.993764630203949e-06,3050.0,-0.018280982122122046,2020-11-17,LTM
855,2373,-6.174916480289593e-06,2348.2,-0.014499938879016022,2020-11-17,PIIND
855,2409,-0.00014339123731476076,777.15,-0.11143650007916632,2020-11-17,POLYPLEX
855,2413,-0.0006624589694717167,187.0,-0.12387982729121101,2020-11-17,POWERGRID
855,3214,-0.00033902911761070055,306.45,-0.10389547309179918,2020-11-17,TORNTPOWER
855,932,0.0007859077054160687,160.0,0.125745232866571,2020-11-17,EVEREADY
855,1427,0.0022334854860847427,56.3,0.125745232866571,2020-11-17,INDSWFTLAB
855,1536,0.00024994083257120055,503.1,0.125745232866571,2020-11-17,JINDALPOLY
855,1547,6.642643046305916e-05,1893.0,0.125745232866571,2020-11-17,JKCEMENT
855,1633,0.0024680124213262216,50.95,0.125745232866571,2020-11-17,KELLTONTEC
855,3266,0.00037257846775280294,337.5,0.125745232866571,2020-11-17,UFLEX
855,3507,1.2436456741077143e-06,432.0,0.0005372549312145326,2020-11-17,ZYDUSLIFE
916,932,-7.932580373226075e-05,224.0,-0.017768980036026408,2021-02-15,EVEREADY
916,1427,-0.0003021328811161888,81.95,-0.02475978960747167,2021-02-15,INDSWFTLAB
916,1547,-8.237332677333797e-06,2720.0,-0.022405544882347927,2021-02-15,JKCEMENT
916,1633,-0.0024680124213262216,85.0,-0.20978105581272885,2021-02-15,KELLTONTEC
916,1817,-4.139185905914215e-05,4060.0,-0.16805094778011714,2021-02-15,LTM
916,2373,-5.3762528800946924e-05,2235.0,-0.12015925187011638,2021-02-15,PIIND
916,3507,-0.0002922292456364182,466.9,-0.13644183478764366,2021-02-15,ZYDUSLIFE
916,1122,0.00031278344635559183,504.0,0.15764285696321828,2021-02-15,GPIL
916,1240,1.2459966204266779e-05,970.0,0.012086167218138776,2021-02-15,HCLTECH
916,1536,5.479985323924799e-05,519.0,0.028441123831169705,2021-02-15,JINDALPOLY
916,1670,0.0007006349198365257,225.0,0.15764285696321828,2021-02-15,KNRCON
916,2997,0.0029800161996827654,52.9,0.15764285696321828,2021-02-15,STEELXIND
916,3123,0.003640712631944995,43.3,0.15764285696321828,2021-02-15,TATASTLBSL
916,3266,7.410110424254084e-05,354.1,0.026239201012283712,2021-02-15,UFLEX
986,932,-0.000706581901683808,324.35,-0.22917983981114315,2021-06-01,EVEREADY
986,1122,-9.271677163259339e-05,980.0,-0.09086243619994153,2021-06-01,GPIL
986,1240,-0.00016311951645235265,948.0,-0.1546373015968303,2021-06-01,HCLTECH
986,1427,-0.0019313526049685539,83.7,-0.16165421303586797,2021-06-01,INDSWFTLAB
986,1536,-0.00030474068581044854,812.65,-0.247647518323861,2021-06-01,JINDALPOLY
986,1547,-5.818909778572537e-05,2859.0,-0.16636263056938883,2021-06-01,JKCEMENT
986,1670,-0.0007006349198365257,220.5,-0.15448999982395392,2021-06-01,KNRCON
986,2997,-0.0029800161996827654,57.5,-0.171350931481759,2021-06-01,STEELXIND
986,3123,-0.001446762059935448,98.3,-0.14221671049165452,2021-06-01,TATASTLBSL
986,651,0.00027197409519887805,789.8,0.21480514038807386,2021-06-01,COSMOFIRST
986,689,0.00012078561650251565,1778.4,0.21480514038807386,2021-06-01,DALBHARAT
986,1202,0.0012650479410369485,169.8,0.21480514038807386,2021-06-01,GULPOLY
986,1575,0.00029979782329110096,716.5,0.21480514038807383,2021-06-01,JSWSTEEL
986,2667,0.00030712773861606217,699.4,0.21480514038807388,2021-06-01,SALASAR
986,3122,0.0001917903039179231,1120.0,0.21480514038807386,2021-06-01,TATASTEEL
986,3266,2.472413230604606e-05,457.4,0.011308818116785467,2021-06-01,UFLEX
986,3346,0.000776872117135891,276.5,0.21480514038807386,2021-06-01,VEDL
1039,651,-0.00027197409519887805,1370.0,-0.3726045104224629,2021-08-16,COSMOFIRST
1039,689,-0.00012078561650251565,1910.0,-0.2307005275198049,2021-08-16,DALBHARAT
1039,1122,-0.00022006667472299844,1275.0,-0.28058501027182303,2021-08-16,GPIL
1039,1202,-0.0012650479410369485,269.9,-0.34143643928587236,2021-08-16,GULPOLY
1039,2667,-0.0006142554772321243,318.95,-0.19591678446318606,2021-08-16,SALASAR
1039,3122,-1.2572218555563405e-05,1484.0,-0.018657172336456092,2021-08-16,TATASTEEL
1039,3266,-0.00047140370430138985,528.0,-0.24890115587113384,2021-08-16,UFLEX
1039,3346,-0.000776872117135891,329.8,-0.2562124242314169,2021-08-16,VEDL
1039,1048,0.0007480961844366948,354.1,0.26490085890903364,2021-08-16,GHCL
1039,1130,0.0001767301747341608,1498.9,0.26490085890903364,2021-08-16,GRASIM
1039,1289,0.000490648006869853,539.9,0.26490085890903364,2021-08-16,HGINFRA
1039,1575,5.696728828074807e-05,745.0,0.04244062976915731,2021-08-16,JSWSTEEL
1039,2204,0.00115224384040467,229.9,0.26490085890903364,2021-08-16,NITINSPIN
1039,2828,0.0029238505398348088,90.6,0.26490085890903364,2021-08-16,SHIVAMILLS
1039,2964,0.0003815091220696099,694.35,0.26490085890903364,2021-08-16,SPLPETRO
1039,3010,0.00018705045820437342,1416.2,0.26490085890903364,2021-08-16,STYRENIX
1039,3123,0.0005247667107565941,97.75,0.05129594597645707,2021-08-16,TATASTLBSL
1100,1048,-4.670545593457001e-05,417.5,-0.01949952785268298,2021-11-15,GHCL
1100,1130,-0.0001767301747341608,1859.05,-0.32855023133954164,2021-11-15,GRASIM
1100,1289,-7.127009186858253e-05,698.25,-0.049764341647237746,2021-11-15,HGINFRA
1100,2204,-1.2825049939156055e-05,257.0,-0.0032960378343631063,2021-11-15,NITINSPIN
1100,2828,-0.0029238505398348088,121.05,-0.3539321078470036,2021-11-15,SHIVAMILLS
1100,2964,-0.0003815091220696099,686.0,-0.2617152577397524,2021-11-15,SPLPETRO
1100,3010,-0.00018705045820437342,1527.0,-0.2856260496780782,2021-11-15,STYRENIX
1100,1301,0.0006183079162787945,473.6,0.2928306291496371,2021-11-15,HINDALCO
1100,1575,7.705804272390961e-05,675.0,0.052014178838638986,2021-11-15,JSWSTEEL
1100,2248,0.0013196513255954803,221.9,0.2928306291496371,2021-11-15,OIL
1100,2266,0.0018717202246700997,156.45,0.2928306291496371,2021-11-15,ONGC
1100,3122,4.690595259102803e-05,1295.0,0.0607432086053813,2021-11-15,TATASTEEL
1100,3346,0.0008900627025824836,329.0,0.2928306291496371,2021-11-15,VEDL
1119,3123,-0.002718717282766141,85.35,-0.23204252008409013,2021-12-13,TATASTLBSL
1164,1048,-0.0007013907285021248,410.0,-0.2875701986858712,2022-02-15,GHCL
1164,1289,-0.00041937791500127046,586.05,-0.24577642708649453,2022-02-15,HGINFRA
1164,1301,-4.8952981249404106e-05,526.45,-0.025771296978748793,2022-02-15,HINDALCO
1164,2204,-8.771034995245217e-05,285.0,-0.02499744973644887,2022-02-15,NITINSPIN
1164,2248,-2.2088963923520832e-05,231.0,-0.005102550666333312,2022-02-15,OIL
1164,2266,-0.00010856195675114301,170.0,-0.01845553264769431,2022-02-15,ONGC
1164,3346,-7.77675656008504e-05,369.0,-0.0286962317067138,2022-02-15,VEDL
1164,710,0.001106439967305488,270.0,0.29873879117248175,2022-02-15,DCMNVL
1164,1575,3.744735147924314e-05,635.85,0.023810898438076752,2022-02-15,JSWSTEEL
1164,1853,0.000579850138145345,515.2,0.29873879117248175,2022-02-15,MAHSEAMLES
1164,2438,0.0009103726685128196,328.15,0.29873879117248175,2022-02-15,PRECOT
1164,3122,2.423315158811608e-05,1196.85,0.029003447478236726,2022-02-15,TATASTEEL
1235,1575,-0.0004712705057750018,554.05,-0.2611074237246397,2022-06-01,JSWSTEEL
1235,1853,-0.00010457663785108065,554.0,-0.057935457369498684,2022-06-01,MAHSEAMLES
1235,2248,-0.00020229813886404576,240.4,-0.0486324725829166,2022-06-01,OIL
1235,2266,-2.174610414235295e-05,151.2,-0.0032880109463237655,2022-06-01,ONGC
1235,2438,-0.0009103726685128196,260.3,-0.23697000561388695,2022-06-01,PRECOT
