pattern,symbol,trade_date,sub,subject
strict,KPIGREEN,2026-02-10,Updates,"Updates: KPI Green Energy Limited has informed the Exchange regarding 'Receipt of Orders for Installation testing and commissioning Work for 300 MWac / 405 MWdc Project at Khavda, Gujarat'."
strict,HGINFRA,2025-11-19,Updates,Updates: H.G. Infra Engineering Limited has informed the Exchange regarding 'H.G. Infra Engineering Limited has received an Order by the DLF Cyber City Developers Limited'.
strict,PNCINFRA,2026-08-03,General Updates,General Updates: PNC Infratech Limited has informed the Exchange about Receipt of Letter of Intent from Airports Authority of India (AAI)
strict,ABCOTS,2025-01-08,Press Release,"Press Release: A B Cotspin India Limited has informed the Exchange regarding a press release dated January 08, 2025, titled ""Receipt of an order""."
strict,NIPPOBATRY,2025-08-07,Updates,"Updates: Indo-National Limited has informed the Exchange regarding 'receipt of order and fixation of date of hearing by the Honorable National Company Law Tribunal, Special Bench, Court-II, Chennai'."
strict,JTLIND,2026-06-10,Press Release,"Press Release: JTL INDUSTRIES LIMITED has informed the Exchange regarding a press release dated Jun 10, 2026, titled ""Receipt of order from Himachal Pradesh State Civil Supplies Corporation Limited""."
strict,CUPID,2025-02-13,Press Release,"Press Release: Cupid Limited has informed the Exchange regarding a press release dated February 12, 2025, titled ""Award of order""."
strict,CAPACITE,2026-06-03,Updates,Updates: Capacite Infraprojects Limited has informed the Exchange regarding 'Receipt of Letter of Intent of Rs. 589 Crore from Ten X Realty East Limited (A subsidiary of Raymond Realty Limited)'.
strict,HGINFRA,2025-05-29,Updates,Updates: H.G. Infra Engineering Limited has informed the Exchange regarding 'Receipt of Letter of Intent from Gujarat Urja Vikas Nigam Limited'.
strict,GVPIL,2026-08-13,General Updates,General Updates: GE Power India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
strict,AYMSYNTEX,2025-03-28,General Updates,"General Updates: AYM Syntex Limited has informed the Exchange about receipt of order from the Commissioner (Appeals) of CGST, Surat."
strict,MCLOUD,2025-05-12,Updates,"Updates: Magellanic Cloud Limited has informed the Exchange regarding 'Pursuant to Regulation 30 read with Schedule III Part A of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements), Regulations, 2015, we would like to inform you that our subsidiary company, i.e., Scandron Private Limited has received an Order worth Rs. 5,00,00,000 (Five Crore Rupees) basic value for supply of Drones.None of the promoter/promoter group/group companies have any interest in"
strict,ABCOTS,2025-05-12,Press Release,"Press Release: A B Cotspin India Limited has informed the Exchange regarding a press release dated May 12, 2025, titled "" ""Receipt of an order""""."
strict,KAMATHOTEL,2024-11-08,General Updates,"General Updates: Kamat Hotels (I) Limited has informed the Exchange about the receipt of Order from Income Tax Appellate Tribunal, Mumbai (ITAT)"
strict,CHALET,2025-03-19,General Updates,"General Updates: Chalet Hotels Limited has informed the Exchange about receipt of Order of the Hon ble National Company Law Tribunal, Mumbai Bench directing the Company to convene a meeting of its Equity Shareholders in respect of the Company Scheme Application for Scheme of Arrangement and Amalgamation amongst the Company, Sonmil Industries Private Limited and The Dukes Retreat Private Limited (subsidiaries) and their respective Shareholders and Creditors ."
strict,NECCLTD,2025-03-28,General Updates,"General Updates: Pursuant to the Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, the Company pleased to inform that, The Company has been awarded a contract from Tata Steel Limited (TSL) for transportation of Steel Products (Coils/Sheets/Tubes) from TSL Sahibabad to various destinations through EV (Electric Heavy Vehicles) for 5 (Five) years and may be extended or renewed for a further period of one year on mutual c"
strict,NLCINDIA,2025-06-23,General Updates,"General Updates: NLC India Limited has informed the Exchange about NLC India Renewables Limited, a Wholly Owned Subsidiary of NLC India Limited, has received a Letter of Award (LoA) from Tamil Nadu Green Energy Corporation Limited (TNGECL) for the development of three (3) standalone Battery Energy Storage System (BESS) projects with an aggregate capacity of 250 MW/500 MWh"
strict,KSCL,2026-04-08,General Updates,"General Updates: Kaveri Seed Company Limited has informed the Exchange about General Updates regarding the Intimation of Disclosure of Receipt of Order from the Income Tax Department under Regulation 30 of SEBI (LODR) Regulations, 2015."
strict,ANTELOPUS,2025-01-31,Updates,"Updates: Selan Exploration Technology Limited has informed the Exchange regarding 'Receipt of order dated January 29, 2025 passed by Hon ble NCLT Chandigarh Bench in relation to the Composite Scheme of Arrangement. '."
strict,ANTELOPUS,2025-04-04,Updates,"Updates: Selan Exploration Technology Limited has informed the Exchange regarding 'Receipt of order for hearing dated March 21, 2025 passed by Hon ble NCLT Chandigarh Bench in relation to the Composite Scheme of Arrangement. '"
strict,PIGL,2025-01-20,Press Release,"Press Release: Power & Instrumentation (Gujarat) Limited has informed the Exchange regarding a press release dated January 17, 2025, titled ""Press Release-with regard to receipt of Work Order worth INR 17.07 Crores (Including taxes) for Supply, Installation, Testing and commissioning of Plant and Equipment at site complete in all respects for 5 MW (AC) Solar Power Project at Latur District, Maharashtra.""."
strict,KPIL,2025-01-01,Press Release,"Press Release: Kalpataru Projects International Limited has informed the Exchange regarding a press release dated December 31, 2024, titled ""PRESS RELEASE- KPIL AWARDED NEW ORDERS OF RS. 1,011 CRORES""."
strict,CAMLINFINE,2026-02-04,General Updates,"General Updates: Camlin Fine Sciences Limited has informed the Exchange about Update on previous intimation regarding receipt of an Order from the Office of the Commissioner of CGST & Central Excise, Palghar Commissionerate."
strict,SOUTHWEST,2026-07-07,Updates,Updates: South West Pinnacle Exploration Limited has informed the Exchange regarding 'Update on receipt of Letter of Award from CMPDI '.
strict,PRECWIRE,2025-01-06,Updates,Updates: Precision Wires India Limited has informed the Exchange regarding 'Intimation of receipt of order under GST regulation'.
strict,UNIDT,2026-07-03,Press Release,"Press Release: United Drilling Tools Limited has informed the Exchange regarding a press release dated July 02, 2026, titled ""Award of order""."
