st,n,f,l
Analysts/Institutional Investor Meet/Con. Call Updates,88538,2022,2026
Updates,72703,2022,2026
Copy of Newspaper Publication,56108,2022,2026
Outcome of Board Meeting,50798,2022,2026
Loss of Share Certificates,47026,2022,2026
Shareholders meeting,39462,2022,2026
General Updates,33194,2024,2026
Press Release,32600,2022,2026
Trading Window,32398,2022,2026
"Certificate under SEBI (Depositories and Participants) Regulations, 2018",29798,2022,2026
Financial Result Updates,21849,2022,2025
Disclosure under SEBI Takeover Regulations,19835,2022,2026
General updates,17834,2022,2022
Investor Presentation,17640,2022,2026
Appointment,13580,2022,2026
Loss of share certificate,11941,2022,2022
Schedule of Analysts/Institutional Investor Meet/Con. Call,10404,2022,2022
Record Date,8658,2022,2026
Newspaper Advertisements,8616,2022,2022
ESOP/ESOS/ESPS,7673,2022,2026
Dividend,7643,2022,2026
Change in Management,7587,2022,2026
Resignation,7135,2022,2026
Credit Rating,7005,2022,2026
Change in Director(s),6106,2022,2026
Annual General Meeting,5770,2022,2022
Closure of trading window,5612,2022,2022
Acquisition,5010,2022,2026
Allotment of Securities,4955,2022,2026
Spurt in Volume,4570,2022,2026
Book Closure,3999,2022,2025
Related Party Transaction,3524,2022,2022
Statement of deviation(s) or variation(s) under Reg. 32,3509,2022,2026
Monitoring Agency Report,3501,2022,2026
Price movement,3461,2022,2026
Cessation,3268,2022,2026
Corporate Insolvency Resolution Process,3062,2022,2026
Related Party Transactions,2969,2022,2026
Clarification - Financial Results,2856,2022,2026
Integrated Filing- Financial,2738,2025,2026
Change in Auditors,2521,2022,2026
Bagging/Receiving of orders/contracts,2411,2024,2026
Reply to Clarification- Financial results,2409,2022,2026
Transcript of Analysts/Institutional Investor Meet/Con. Call,2345,2022,2022
Action(s) taken or orders passed,2309,2024,2026
Recording of Analysts/Institutional Investor Meet/Con. Call,2111,2022,2022
News Verification,2035,2022,2026
Annual Secretarial Compliance Report,1906,2023,2023
Postal Ballot,1901,2022,2022
Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,1422,2024,2026
ESOP/ESPS/SBEB Scheme,1323,2022,2022
Amendment to AOA/MOA,1316,2022,2026
Resignation of Independent director,1264,2023,2026
Disclosure of material issue,1263,2023,2026
Action(s) initiated or orders passed,1242,2024,2026
Communication to shareholders as per Reg 30,1232,2022,2022
Dividend Updates,1223,2022,2024
Resignation of Director/KMP/SMP,1175,2026,2026
Change in Company Secretary/Compliance Officer,1060,2022,2026
Disclosure of other UPSI/material event,1032,2022,2022
Agreements,1023,2024,2026
Amalgamation/Merger,1013,2022,2026
Corrigendum,1004,2022,2026
Defaults on Payment of Interest/Principal,984,2022,2026
Committee Meeting Updates,977,2022,2026
Monthly Business Updates,917,2022,2026
Scheme of Arrangement,900,2022,2026
Clarification,868,2022,2025
Re-appointment,841,2022,2022
Retirement,828,2022,2026
Credit Rating- Revision,798,2024,2026
Issue of Duplicate Share Certificate,747,2024,2026
Reply to Clarification Sought,731,2022,2025
Issue of Securities,712,2022,2026
Extra Ordinary Meeting,649,2022,2022
Structural Digital Database,592,2025,2026
Options to purchase securities,576,2024,2026
Memorandum of Understanding/Agreements,559,2022,2026
Capacity addition,464,2024,2026
Address Change,455,2022,2026
Awarding of order(s)/contract(s),454,2024,2026
Rights Issue,453,2022,2026
CIRP - others,453,2022,2022
Credit Rating- New,453,2024,2026
Commencement of commercial production/operations,439,2024,2026
CIRP - Committee meeting updates,411,2022,2022
Daily Buy Back of securities,405,2022,2022
Press Release (Revised),402,2022,2026
"Code of Conduct under SEBI(PIT) Reg., 2015",376,2022,2024
Board Meeting Intimation,376,2023,2023
Bonus,371,2022,2026
Diversification/Disinvestment,370,2022,2026
Rumour Verification - Regulation 30(11),369,2024,2026
Credit Rating- Others,362,2024,2026
Giving guarantees/indemnity/ becoming a surety for third party,349,2024,2026
Registrar & Share Transfer Agent Update,339,2022,2026
Reply to Clarification Sought- Financial Results,323,2022,2022
Demise,320,2022,2026
Preferential issue,314,2022,2026
Insider Trading - Others,295,2022,2022
Stock split,293,2022,2026
Clarification- Financial Results,292,2022,2022
Product launch,289,2024,2026
Incorporation,288,2024,2026
Date of payment of dividend,281,2022,2024
Sale or disposal,280,2024,2026
NCLT/ Court Convened Meeting,277,2022,2022
Revised Record date,260,2022,2026
Suspension of Trading,260,2022,2026
Resignation of Statutory Auditor,259,2023,2026
Qualified Institutional Placement,255,2022,2026
Buyback,253,2022,2026
Name Change,243,2022,2026
Reasons for Delayed/Non-submission of Financial Results,239,2022,2026
Code of conduct under SEBI (PIT) Regulations,232,2022,2022
Open Offer,224,2022,2026
Redemption,212,2022,2026
Awarding orders/contract,209,2022,2022
Limited Review Report,208,2022,2024
Granting/withdrawal/surrender/cancellation/suspension of key licenses/ regulatory approvals,206,2024,2026
Integrated Filing- Governance,202,2025,2026
Strikes/Lockouts/Disturbances,197,2022,2026
Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,193,2023,2023
Public Announcement-Open Offer,187,2022,2026
Financial Results Updates,165,2022,2022
Interest Rates Updates,163,2022,2024
Offer for sale,150,2022,2026
Bagging orders/contract,146,2022,2022
Others,145,2024,2026
Conversion,145,2022,2026
Public Announcement - Buyback of Shares,144,2022,2026
Declaration for audit reports with unmodified opinion(s),138,2022,2024
Quarterly Compliance Report on Corporate governance - within 21 days from the end of the quarter,134,2023,2026
"Arrangements for strategic, technical, manufacturing, or marketing tie up",133,2024,2026
Post Buyback Public Announcement,129,2022,2026
Sale or disposal of unit/ division/subsidiary,128,2022,2022
Other Restructuring,126,2024,2026
Publish Audited Results,125,2022,2024
Demerger,124,2022,2026
Addendum,124,2022,2026
Increase in Authorised Capital,118,2022,2026
Outcome of committee meeting,118,2022,2022
Disruption of Operations,118,2024,2026
Extension of Annual General Meeting,114,2022,2026
Restructuring,107,2022,2024
Agreements/Contracts/Arrangements/ MOU's PARA A,103,2022,2022
Utilisation of Funds,103,2022,2026
Change in designation,101,2022,2022
Name and Symbol Change,101,2022,2026
Annual Disclosure,100,2022,2024
Trading Plan under PIT,99,2022,2026
Closure of operations,98,2024,2026
Agreements/Contracts/Arrangements/ MOU's PARA B,95,2022,2022
Capacity addition/product launch,92,2022,2022
Business Responsibility & Sustainability Report (BRSR),84,2022,2022
Litigations/Disputes/Regulatory actions,77,2022,2022
Disclosure of record date for purpose of distribution,76,2023,2024
Closure of Buy Back,75,2022,2026
Fraud/Default/Arrest,74,2022,2026
Preferential Issue,74,2022,2022
Delay/default in the payment of fines/penalties/dues etc. to authority,74,2024,2026
Voluntary Delisting,69,2022,2026
Buyback - others,67,2022,2022
Revised Book Closure,62,2022,2024
Board meeting Cancelled,59,2022,2026
Issuance/changes in Capital-Others,57,2022,2022
Debentures,56,2022,2022
Statement on Impact of Audit Qualifications,56,2023,2024
Auditor's report,55,2022,2024
Delisting,55,2022,2026
Amendment(s),49,2024,2026
Commencement/Postponement of Operations,46,2022,2022
Adoption of new line(s) of business,44,2022,2026
Board Meeting Adjourned,42,2022,2024
Disruption of operations,41,2022,2022
Forfeiture,39,2022,2026
Rescission/termination(s),39,2024,2026
Confirmation of payment of Interest/Principal,37,2022,2022
Split of shares,35,2022,2022
One Time Settlement,32,2022,2022
Cancellation of Book closure,32,2022,2026
CIRP - Commencement,31,2022,2022
Name & Symbol Change,31,2022,2022
Cancellation,25,2022,2022
Disclosure of Annual financial information (if submitted as part of Annual Report),25,2023,2024
Liquidation,23,2022,2022
One time settlement,23,2024,2026
Share Warrants,22,2022,2022
CIRP - Approval of Resolution Plan,21,2022,2022
Buyback - Tender offer,20,2022,2022
Corp Restructuring - others,20,2022,2022
Grant of licenses/regulatory approvals,20,2022,2022
E-mail ID for Investor's Grievance Redressal,19,2022,2024
Withdrawal,19,2022,2024
Closure of operations of any unit/division,19,2022,2022
Post Offer Public Announcement,18,2022,2026
Update-Acquisition/Scheme/Sale/Disposal/Reg30-XBRL,17,2023,2023
Notice Of Shareholders Meetings-XBRL,16,2023,2023
Cancellation of Record date,15,2022,2024
CIRP - Filing of application,15,2022,2022
Frauds/Default by employees,15,2024,2026
Date of payment of Interest/Principal,13,2022,2022
Symbol Change of company,13,2022,2026
Effect(s) on listed entity due to changed regulatory framework applicable,13,2024,2026
Disclosure under SEBI (PIT) Reg 2015,13,2022,2025
Buyback - Open Market,13,2022,2022
Alteration/revision(s),11,2025,2026
Trading Plan under SEBI (PIT) Regulations,11,2022,2022
Initiation of Forensic Audit,11,2024,2026
Outcome of Unitholder meetings,11,2023,2024
CIRP - Filing of Resolution Plan,11,2022,2022
Notice of Unitholder meetings,11,2023,2024
Corporate Debt Restructuring,10,2022,2026
Giving of guarantee/indemnity or becoming surety,10,2022,2022
Postponement of commercial production/operations,10,2024,2026
Closure of Buyback,9,2022,2022
CIRP - Change in Resolutional Professional,9,2022,2022
Payouts- others,8,2022,2022
Consolidated Result Updates - IFRS,8,2023,2024
Qualified Institutional Placements,8,2022,2022
Allotment of ESOP/ESPS,8,2023,2024
Slump Sale,7,2022,2022
"Agreements,Contracts,Arrangements,MOU-XBRL",7,2023,2023
Voluntary Revision of Financial statements or Report,6,2024,2026
Audit Qualifications/Comments,6,2023,2024
Preference Shares,6,2022,2022
Public Announcement - Delisting,6,2022,2023
Final forensic audit report,6,2025,2026
Post Offer Public announcement,6,2022,2022
Capital Reduction,6,2022,2022
Adjournment/Reschedule/Postpone,6,2022,2022
Institutional Placement Programme,6,2024,2025
Amendment/Termination of awards/contracts,6,2022,2022
Change in Financial Year,5,2022,2026
FCCBs,5,2023,2026
CIRP - Revocation/rejection,4,2022,2022
Intimation of Board Meeting,4,2022,2022
Cancellation of Dividend,4,2022,2024
Disclosure of all complaints including SCORES complaints received by the InvIT on a quarterly basis,4,2024,2025
Incorporation-XBRL,4,2023,2023
Withdrawal of Rights Issue,4,2023,2025
Extension of Financial Year,4,2025,2025
Revocation of Suspension of Securities,4,2022,2024
Disc. under Reg.30 of SEBI (SAST) Reg.2011,3,2023,2023
Outcome of Board Meeting-XBRL,3,2023,2023
Appointment of Company Secretary and Compliance Officer,3,2022,2022
Sale or disposal-XBRL,3,2023,2023
FCCB/ FCEB,2,2022,2022
Follow-on public issue,2,2023,2024
Disclosure of Half yearly financial information (if submitted as part of Half-Yearly Report),2,2023,2023
Global Depository Receipts,1,2022,2022
Effects - Change in regulatory framework,1,2022,2022
Disclosure of Valuation report,1,2024,2024
Withdrawal/Surrender/Cancellation or suspension of licenses/ regulatory approvals,1,2022,2022
Alteration Of Capital and Fund Raising-XBRL,1,2023,2023
News verification,1,2022,2022
